[2012-12-12 01:21:31,247]<crawlerlog>DEBUG:bluefly.new_listing.5a222cbc442c11e28a4622000afc0e06d58e2f94037a461394f9d9431c585e48 -> [('url', 'http://www.bluefly.com/Wyatt-navy-and-grey-stretch-jersey-colorblock-turtleneck-dress/p/319998901/detail.fly'), ('is_updated', False), ('obj_type', 'Product'), ('key', '319998901'), ('is_new', True)]
[2012-12-12 01:21:31,252]<crawlerlog>DEBUG:bluefly.new_listing.5a222cbc442c11e28a4622000afc0e06d58e2f94037a461394f9d9431c585e48 -> [('url', 'http://www.bluefly.com/Marc-Jacobs-pink-leather-bow-detail-cap-toe-ballet-flats/p/317179801/detail.fly'), ('is_updated', False), ('obj_type', 'Product'), ('key', '317179801'), ('is_new', True)]
[2012-12-12 01:21:31,259]<crawlerlog>DEBUG:bluefly.new_listing.5a222cbc442c11e28a4622000afc0e06d58e2f94037a461394f9d9431c585e48 -> [('url', 'http://www.bluefly.com/Matt-Bernson-black-canvas-and-leather-Cortez-sandals/p/317671401/detail.fly'), ('is_updated', False), ('obj_type', 'Product'), ('key', '317671401'), ('is_new', True)]
[2012-12-12 01:21:31,269]<crawlerlog>DEBUG:bluefly.new_listing.5a222cbc442c11e28a4622000afc0e06d58e2f94037a461394f9d9431c585e48 -> [('url', 'http://www.bluefly.com/Wyatt-vintage-floral-print-chiffon-ruched-sleeve-blouse/p/318619602/detail.fly'), ('is_updated', False), ('obj_type', 'Product'), ('key', '318619602'), ('is_new', True)]
[2012-12-12 01:21:31,272]<crawlerlog>DEBUG:bluefly.new_listing.5a222cbc442c11e28a4622000afc0e06d58e2f94037a461394f9d9431c585e48 -> [('url', 'http://www.bluefly.com/Miu-Miu-black-leather-cutout-zip-back-platform-pumps/p/319854101/detail.fly'), ('is_updated', False), ('obj_type', 'Product'), ('key', '319854101'), ('is_new', False)]
[2012-12-12 01:21:31,274]<crawlerlog>DEBUG:bluefly.new_listing.5a222cbc442c11e28a4622000afc0e06d58e2f94037a461394f9d9431c585e48 -> [('url', 'http://www.bluefly.com/Magaschoni-honey-suckle-cashmere-v-back-raglan-sleeve-sweater/p/318662704/detail.fly'), ('is_updated', False), ('obj_type', 'Product'), ('key', '318662704'), ('is_new', False)]
[2012-12-12 01:21:31,276]<crawlerlog>DEBUG:bluefly.new_listing.5a222cbc442c11e28a4622000afc0e06d58e2f94037a461394f9d9431c585e48 -> [('url', 'http://www.bluefly.com/BCBGMAXAZRIA-plum-stretch-knit-Finch-crewneck-dress/p/320094501/detail.fly'), ('is_updated', False), ('obj_type', 'Product'), ('key', '320094501'), ('is_new', False)]
[2012-12-12 01:21:31,279]<crawlerlog>DEBUG:bluefly.new_listing.5a222cbc442c11e28a4622000afc0e06d58e2f94037a461394f9d9431c585e48 -> [('url', 'http://www.bluefly.com/Tods-grey-suede-slip-on-sandals/p/320640501/detail.fly'), ('is_updated', False), ('obj_type', 'Product'), ('key', '320640501'), ('is_new', False)]
[2012-12-12 01:21:31,280]<crawlerlog>DEBUG:bluefly.new_listing.5a222cbc442c11e28a4622000afc0e06d58e2f94037a461394f9d9431c585e48 -> [('url', 'http://www.bluefly.com/Marc-Jacobs-navy-leather-buckle-strap-sandals/p/317180201/detail.fly'), ('is_updated', False), ('obj_type', 'Product'), ('key', '317180201'), ('is_new', False)]
[2012-12-12 01:21:31,283]<crawlerlog>DEBUG:bluefly.new_listing.5a222cbc442c11e28a4622000afc0e06d58e2f94037a461394f9d9431c585e48 -> [('url', 'http://www.bluefly.com/Tommy-Hilfiger-navy-plaid-wool-Nathan-two-button-suit-with-flat-front-pants/p/318445801/detail.fly'), ('is_updated', False), ('obj_type', 'Product'), ('key', '318445801'), ('is_new', True)]
[2012-12-12 01:21:31,284]<crawlerlog>DEBUG:bluefly.new_listing.5a222cbc442c11e28a4622000afc0e06d58e2f94037a461394f9d9431c585e48 -> [('url', 'http://www.bluefly.com/Prada-black-patent-leather-striped-wood-heel-slingbacks/p/320337901/detail.fly'), ('is_updated', False), ('obj_type', 'Product'), ('key', '320337901'), ('is_new', False)]
[2012-12-12 01:21:31,285]<crawlerlog>DEBUG:bluefly.new_listing.5a222cbc442c11e28a4622000afc0e06d58e2f94037a461394f9d9431c585e48 -> [('url', 'http://www.bluefly.com/Wyatt-twine-and-black-ruched-longsleeve-colorblock-dress/p/319998802/detail.fly'), ('is_updated', False), ('obj_type', 'Product'), ('key', '319998802'), ('is_new', True)]
[2012-12-12 01:21:31,287]<crawlerlog>DEBUG:bluefly.new_listing.5a222cbc442c11e28a4622000afc0e06d58e2f94037a461394f9d9431c585e48 -> [('url', 'http://www.bluefly.com/BCBGeneration-pebblestone-patterned-ruffle-side-tank-blouse/p/319524001/detail.fly'), ('is_updated', False), ('obj_type', 'Product'), ('key', '319524001'), ('is_new', True)]
[2012-12-12 01:21:31,289]<crawlerlog>DEBUG:bluefly.new_listing.5a222cbc442c11e28a4622000afc0e06d58e2f94037a461394f9d9431c585e48 -> [('url', 'http://www.bluefly.com/Tods-dove-grey-suede-Fashion-moccasin-pumps/p/313533101/detail.fly'), ('is_updated', False), ('obj_type', 'Product'), ('key', '313533101'), ('is_new', True)]
[2012-12-12 01:21:31,303]<crawlerlog>DEBUG:bluefly.new_listing.5a222cbc442c11e28a4622000afc0e06d58e2f94037a461394f9d9431c585e48 -> [('url', 'http://www.bluefly.com/Gurhan-gold-and-diamond-oval-link-bracelet/p/321155101/detail.fly'), ('is_updated', False), ('obj_type', 'Product'), ('key', '321155101'), ('is_new', False)]
[2012-12-12 01:21:31,306]<crawlerlog>DEBUG:bluefly.new_listing.5a222cbc442c11e28a4622000afc0e06d58e2f94037a461394f9d9431c585e48 -> [('url', 'http://www.bluefly.com/BCBGMAXAZRIA-jewel-green-ruched-jersey-Lesley-sleeveless-gown/p/320669201/detail.fly'), ('is_updated', False), ('obj_type', 'Product'), ('key', '320669201'), ('is_new', True)]
[2012-12-12 01:21:31,310]<crawlerlog>DEBUG:bluefly.new_listing.5a222cbc442c11e28a4622000afc0e06d58e2f94037a461394f9d9431c585e48 -> [('url', 'http://www.bluefly.com/Patti-LaBelle-patti-labelle-girlfriend-by-patti-labelle-eau-de-parfum-spray-34-oz/p/321966401/detail.fly'), ('is_updated', False), ('obj_type', 'Product'), ('key', '321966401'), ('is_new', True)]
[2012-12-12 01:21:31,329]<crawlerlog>DEBUG:bluefly.new_listing.5a222cbc442c11e28a4622000afc0e06d58e2f94037a461394f9d9431c585e48 -> [('url', 'http://www.bluefly.com/ABS-by-Allen-Schwartz-black-cap-sleeve-lace-trim-dress/p/319097701/detail.fly'), ('is_updated', False), ('obj_type', 'Product'), ('key', '319097701'), ('is_new', True)]
[2012-12-12 01:21:31,335]<crawlerlog>DEBUG:bluefly.new_listing.5a222cbc442c11e28a4622000afc0e06d58e2f94037a461394f9d9431c585e48 -> [('url', 'http://www.bluefly.com/Howe-tibetan-red-cotton-Dreamers-graphic-t-shirt/p/320150401/detail.fly'), ('is_updated', False), ('obj_type', 'Product'), ('key', '320150401'), ('is_new', False)]
[2012-12-12 01:21:31,336]<crawlerlog>DEBUG:bluefly.new_listing.5a222cbc442c11e28a4622000afc0e06d58e2f94037a461394f9d9431c585e48 -> [('url', 'http://www.bluefly.com/Single-peach-chevron-print-stretch-jersey-belted-long-sleeve-dress/p/321172201/detail.fly'), ('is_updated', False), ('obj_type', 'Product'), ('key', '321172201'), ('is_new', False)]
[2012-12-12 01:21:31,341]<crawlerlog>DEBUG:bluefly.new_listing.5a222cbc442c11e28a4622000afc0e06d58e2f94037a461394f9d9431c585e48 -> [('url', 'http://www.bluefly.com/Tahari-ASL-rose-satin-embellished-floral-lace-sheath-dress/p/320545101/detail.fly'), ('is_updated', False), ('obj_type', 'Product'), ('key', '320545101'), ('is_new', True)]
[2012-12-12 01:21:31,345]<crawlerlog>DEBUG:bluefly.new_listing.5a222cbc442c11e28a4622000afc0e06d58e2f94037a461394f9d9431c585e48 -> [('url', 'http://www.bluefly.com/Post-Card-charcoal-zip-front-hooded-short-parka/p/300510901/detail.fly'), ('is_updated', False), ('obj_type', 'Product'), ('key', '300510901'), ('is_new', True)]
[2012-12-12 01:21:31,354]<crawlerlog>DEBUG:bluefly.new_listing.5a222cbc442c11e28a4622000afc0e06d58e2f94037a461394f9d9431c585e48 -> [('url', 'http://www.bluefly.com/Soia-Kyo-black-nylon-Josh-hooded-rain-jacket/p/321744401/detail.fly'), ('is_updated', False), ('obj_type', 'Product'), ('key', '321744401'), ('is_new', True)]
[2012-12-12 01:21:31,356]<crawlerlog>DEBUG:bluefly.new_listing.5a222cbc442c11e28a4622000afc0e06d58e2f94037a461394f9d9431c585e48 -> [('url', 'http://www.bluefly.com/Miu-Miu-azurite-suede-strappy-platform-sandals/p/319563701/detail.fly'), ('is_updated', False), ('obj_type', 'Product'), ('key', '319563701'), ('is_new', False)]
[2012-12-12 01:21:31,360]<crawlerlog>DEBUG:bluefly.new_listing.5a222cbc442c11e28a4622000afc0e06d58e2f94037a461394f9d9431c585e48 -> [('url', 'http://www.bluefly.com/Prada-red-and-brown-patent-leather-cutout-slingback-pumps/p/320336001/detail.fly'), ('is_updated', False), ('obj_type', 'Product'), ('key', '320336001'), ('is_new', False)]
[2012-12-12 01:21:31,362]<crawlerlog>DEBUG:bluefly.new_listing.5a222cbc442c11e28a4622000afc0e06d58e2f94037a461394f9d9431c585e48 -> [('url', 'http://www.bluefly.com/ABS-by-Allen-Schwartz-black-dotted-mesh-sheath-dress/p/318632501/detail.fly'), ('is_updated', False), ('obj_type', 'Product'), ('key', '318632501'), ('is_new', True)]
[2012-12-12 01:21:31,367]<crawlerlog>DEBUG:bluefly.new_listing.5a222cbc442c11e28a4622000afc0e06d58e2f94037a461394f9d9431c585e48 -> [('url', 'http://www.bluefly.com/Portolano-black-cashmere-ruched-long-gloves/p/319402001/detail.fly'), ('is_updated', False), ('obj_type', 'Product'), ('key', '319402001'), ('is_new', False)]
[2012-12-12 01:21:31,368]<crawlerlog>DEBUG:bluefly.new_listing.5a222cbc442c11e28a4622000afc0e06d58e2f94037a461394f9d9431c585e48 -> [('url', 'http://www.bluefly.com/Paul-Smith-blue-chiaro-wool-linen-two-button-blazer/p/319788701/detail.fly'), ('is_updated', False), ('obj_type', 'Product'), ('key', '319788701'), ('is_new', False)]
[2012-12-12 01:21:31,370]<crawlerlog>DEBUG:bluefly.new_listing.5a222cbc442c11e28a4622000afc0e06d58e2f94037a461394f9d9431c585e48 -> [('url', 'http://www.bluefly.com/Ash-faded-black-leather-Diana-ankle-booties/p/316942101/detail.fly'), ('is_updated', False), ('obj_type', 'Product'), ('key', '316942101'), ('is_new', True)]
[2012-12-12 01:21:31,397]<crawlerlog>DEBUG:bluefly.new_listing.5a222cbc442c11e28a4622000afc0e06d58e2f94037a461394f9d9431c585e48 -> [('url', 'http://www.bluefly.com/Suzi-Chin-anchor-grey-stretch-jersey-faux-wrap-dress/p/319282602/detail.fly'), ('is_updated', False), ('obj_type', 'Product'), ('key', '319282602'), ('is_new', True)]
[2012-12-12 01:21:31,409]<crawlerlog>DEBUG:bluefly.new_listing.5a222cbc442c11e28a4622000afc0e06d58e2f94037a461394f9d9431c585e48 -> [('url', 'http://www.bluefly.com/Ellen-Tracy-grey-tweed-lace-waist-short-sleeve-dress/p/320497701/detail.fly'), ('is_updated', False), ('obj_type', 'Product'), ('key', '320497701'), ('is_new', True)]
[2012-12-12 01:21:31,425]<crawlerlog>DEBUG:bluefly.new_listing.5a222cbc442c11e28a4622000afc0e06d58e2f94037a461394f9d9431c585e48 -> [('url', 'http://www.bluefly.com/Suzi-Chin-seaweed-blue-stretch-jersey-faux-wrap-dress/p/319282603/detail.fly'), ('is_updated', False), ('obj_type', 'Product'), ('key', '319282603'), ('is_new', True)]
[2012-12-12 01:21:31,464]<crawlerlog>DEBUG:bluefly.new_listing.5a222cbc442c11e28a4622000afc0e06d58e2f94037a461394f9d9431c585e48 -> [('url', 'http://www.bluefly.com/Paul-Sebastian-design-by-paul-sebastian-eau-de-parfum-spray-17-oz/p/321965101/detail.fly'), ('is_updated', False), ('obj_type', 'Product'), ('key', '321965101'), ('is_new', True)]
[2012-12-12 01:21:31,468]<crawlerlog>DEBUG:bluefly.new_listing.5a222cbc442c11e28a4622000afc0e06d58e2f94037a461394f9d9431c585e48 -> [('url', 'http://www.bluefly.com/Prada-sand-croc-embossed-leather-platform-sandals/p/320337101/detail.fly'), ('is_updated', False), ('obj_type', 'Product'), ('key', '320337101'), ('is_new', False)]
[2012-12-12 01:21:31,470]<crawlerlog>DEBUG:bluefly.new_listing.5a222cbc442c11e28a4622000afc0e06d58e2f94037a461394f9d9431c585e48 -> [('url', 'http://www.bluefly.com/Hogan-orange-and-yellow-canvas-strappy-kitten-heel-sandals/p/318301201/detail.fly'), ('is_updated', False), ('obj_type', 'Product'), ('key', '318301201'), ('is_new', False)]
[2012-12-12 01:21:31,471]<crawlerlog>DEBUG:zulily.update_category.7aeef25e442c11e28a4622000afc0e0691e9a00c859b481b9d4c31eb6beda630 -> [('url', 'http://www.zulily.com/upcoming_events/20043'), ('is_updated', False), ('obj_type', 'Event'), ('key', 'blink-and-dimples-121212'), ('is_new', True)]
[2012-12-12 01:21:31,472]<crawlerlog>DEBUG:bluefly.new_listing.5a222cbc442c11e28a4622000afc0e06d58e2f94037a461394f9d9431c585e48 -> [('url', 'http://www.bluefly.com/Free-People-grey-floral-lace-Barely-There-caftan/p/318573402/detail.fly'), ('is_updated', False), ('obj_type', 'Product'), ('key', '318573402'), ('is_new', True)]
[2012-12-12 01:21:31,485]<crawlerlog>DEBUG:bluefly.new_listing.5a222cbc442c11e28a4622000afc0e06d58e2f94037a461394f9d9431c585e48 -> [('url', 'http://www.bluefly.com/DAWN-LEVY-tealeaf-cotton-nylon-Anna-fox-trimmed-utility-jacket/p/321794001/detail.fly'), ('is_updated', False), ('obj_type', 'Product'), ('key', '321794001'), ('is_new', True)]
[2012-12-12 01:21:31,486]<crawlerlog>DEBUG:bluefly.new_listing.5a222cbc442c11e28a4622000afc0e06d58e2f94037a461394f9d9431c585e48 -> [('url', 'http://www.bluefly.com/BCBGeneration-metallic-dark-bronze-suede-Lana-pumps/p/316924501/detail.fly'), ('is_updated', False), ('obj_type', 'Product'), ('key', '316924501'), ('is_new', True)]
[2012-12-12 01:21:31,491]<crawlerlog>DEBUG:bluefly.new_listing.5a222cbc442c11e28a4622000afc0e06d58e2f94037a461394f9d9431c585e48 -> [('url', 'http://www.bluefly.com/Romeo-Juliet-Couture-teal-stretch-knit-bandage-skirt/p/321822102/detail.fly'), ('is_updated', False), ('obj_type', 'Product'), ('key', '321822102'), ('is_new', False)]
[2012-12-12 01:21:31,494]<crawlerlog>DEBUG:bluefly.new_listing.5a222cbc442c11e28a4622000afc0e06d58e2f94037a461394f9d9431c585e48 -> [('url', 'http://www.bluefly.com/Marc-Jacobs-black-suede-buckle-detail-ballet-flats/p/317134601/detail.fly'), ('is_updated', False), ('obj_type', 'Product'), ('key', '317134601'), ('is_new', False)]
[2012-12-12 01:21:31,495]<crawlerlog>DEBUG:bluefly.new_listing.5a222cbc442c11e28a4622000afc0e06d58e2f94037a461394f9d9431c585e48 -> [('url', 'http://www.bluefly.com/Hogan-dark-pink-patent-leather-strappy-kitten-heel-sandals/p/318261301/detail.fly'), ('is_updated', False), ('obj_type', 'Product'), ('key', '318261301'), ('is_new', True)]
[2012-12-12 01:21:31,500]<crawlerlog>DEBUG:bluefly.new_listing.5a222cbc442c11e28a4622000afc0e06d58e2f94037a461394f9d9431c585e48 -> [('url', 'http://www.bluefly.com/Tods-burgundy-leopard-print-suede-Ballerina-flats/p/321396201/detail.fly'), ('is_updated', False), ('obj_type', 'Product'), ('key', '321396201'), ('is_new', False)]
[2012-12-12 01:21:31,507]<crawlerlog>DEBUG:bluefly.new_listing.5a222cbc442c11e28a4622000afc0e06d58e2f94037a461394f9d9431c585e48 -> [('url', 'http://www.bluefly.com/Wyatt-electric-blue-printed-one-shoulder-ruffle-top/p/316818401/detail.fly'), ('is_updated', False), ('obj_type', 'Product'), ('key', '316818401'), ('is_new', True)]
[2012-12-12 01:21:31,520]<crawlerlog>DEBUG:bluefly.new_listing.5a222cbc442c11e28a4622000afc0e06d58e2f94037a461394f9d9431c585e48 -> [('url', 'http://www.bluefly.com/Gucci-cream-leather-Village-mid-heel-clogs/p/319260701/detail.fly'), ('is_updated', False), ('obj_type', 'Product'), ('key', '319260701'), ('is_new', False)]
[2012-12-12 01:21:31,521]<crawlerlog>DEBUG:bluefly.new_listing.5a222cbc442c11e28a4622000afc0e06d58e2f94037a461394f9d9431c585e48 -> [('url', 'http://www.bluefly.com/Prada-red-and-brown-colorblock-patent-leather-open-toe-sandals/p/320336601/detail.fly'), ('is_updated', False), ('obj_type', 'Product'), ('key', '320336601'), ('is_new', False)]
